Time_sec , Lat , Lon , Yaw_deg , North_m , East_m , Target_WP_idx , Dist_to_WP_m , CrossTrackErr_m , Surge_Cmd , Yaw_Cmd_deg , Event
0.10  ,43.706638  ,10.475604  ,-146.49  ,23.85  ,27.17  ,1,0.00  ,0.00  ,0.00  ,0.00  ,Smart Start: Corner 1 (Inversione sx-dx). | Inserito WP Rientro
0.20  ,43.706638  ,10.475604  ,-146.45  ,23.86  ,27.17  ,1,8.30  ,0.01  ,0.00  ,45.00  ,
0.30  ,43.706638  ,10.475604  ,-146.42  ,23.87  ,27.17  ,1,8.30  ,0.01  ,0.00  ,45.00  ,
0.40  ,43.706638  ,10.475604  ,-146.41  ,23.87  ,27.17  ,1,8.30  ,0.01  ,0.00  ,45.00  ,
0.40  ,43.706638  ,10.475604  ,-146.41  ,23.87  ,27.17  ,1,8.30  ,0.01  ,0.00  ,45.00  ,
0.50  ,43.706638  ,10.475604  ,-146.44  ,23.87  ,27.17  ,1,8.29  ,0.01  ,0.00  ,45.00  ,
0.60  ,43.706638  ,10.475604  ,-146.46  ,23.87  ,27.17  ,1,8.29  ,0.02  ,0.00  ,45.00  ,
0.80  ,43.706638  ,10.475604  ,-146.46  ,23.88  ,27.16  ,1,8.29  ,0.02  ,0.00  ,45.00  ,
0.90  ,43.706638  ,10.475604  ,-146.43  ,23.88  ,27.16  ,1,8.29  ,0.02  ,0.00  ,45.00  ,
1.00  ,43.706639  ,10.475604  ,-146.38  ,23.88  ,27.16  ,1,8.28  ,0.02  ,0.00  ,45.00  ,
1.00  ,43.706639  ,10.475604  ,-146.38  ,23.88  ,27.16  ,1,8.28  ,0.02  ,0.00  ,45.00  ,
1.10  ,43.706639  ,10.475604  ,-146.27  ,23.89  ,27.16  ,1,8.28  ,0.02  ,0.00  ,45.00  ,
1.20  ,43.706639  ,10.475604  ,-146.09  ,23.89  ,27.16  ,1,8.28  ,0.03  ,0.00  ,45.00  ,
1.30  ,43.706639  ,10.475604  ,-145.85  ,23.89  ,27.16  ,1,8.28  ,0.03  ,0.00  ,45.00  ,
1.50  ,43.706639  ,10.475604  ,-145.13  ,23.90  ,27.16  ,1,8.28  ,0.03  ,0.00  ,45.00  ,
1.50  ,43.706639  ,10.475604  ,-145.13  ,23.90  ,27.16  ,1,8.28  ,0.03  ,0.00  ,45.00  ,
1.70  ,43.706639  ,10.475604  ,-144.16  ,23.90  ,27.16  ,1,8.27  ,0.04  ,0.00  ,45.00  ,
1.70  ,43.706639  ,10.475604  ,-144.16  ,23.90  ,27.16  ,1,8.27  ,0.04  ,0.00  ,45.00  ,
1.90  ,43.706639  ,10.475604  ,-142.96  ,23.91  ,27.16  ,1,8.27  ,0.04  ,0.00  ,45.00  ,
1.90  ,43.706639  ,10.475604  ,-142.96  ,23.91  ,27.16  ,1,8.27  ,0.04  ,0.00  ,45.00  ,
2.00  ,43.706639  ,10.475604  ,-142.29  ,23.91  ,27.16  ,1,8.27  ,0.04  ,0.00  ,45.00  ,
2.20  ,43.706639  ,10.475604  ,-140.82  ,23.92  ,27.16  ,1,8.26  ,0.05  ,0.00  ,45.00  ,
2.20  ,43.706639  ,10.475604  ,-140.82  ,23.92  ,27.16  ,1,8.26  ,0.05  ,0.00  ,45.00  ,
2.30  ,43.706639  ,10.475604  ,-140.06  ,23.92  ,27.16  ,1,8.26  ,0.05  ,0.00  ,45.00  ,
2.40  ,43.706639  ,10.475604  ,-139.28  ,23.93  ,27.16  ,1,8.26  ,0.06  ,0.00  ,45.00  ,
2.60  ,43.706639  ,10.475604  ,-137.69  ,23.93  ,27.15  ,1,8.25  ,0.06  ,0.00  ,45.00  ,
2.60  ,43.706639  ,10.475604  ,-137.69  ,23.93  ,27.15  ,1,8.25  ,0.06  ,0.00  ,45.00  ,
2.70  ,43.706639  ,10.475604  ,-136.87  ,23.94  ,27.16  ,1,8.25  ,0.07  ,0.00  ,45.00  ,
2.90  ,43.706639  ,10.475604  ,-135.22  ,23.95  ,27.16  ,1,8.25  ,0.08  ,0.00  ,45.00  ,
3.00  ,43.706639  ,10.475604  ,-134.38  ,23.95  ,27.16  ,1,8.25  ,0.08  ,0.00  ,45.00  ,
3.00  ,43.706639  ,10.475604  ,-134.38  ,23.95  ,27.16  ,1,8.24  ,0.08  ,0.00  ,45.00  ,
3.20  ,43.706639  ,10.475604  ,-132.69  ,23.96  ,27.15  ,1,8.24  ,0.09  ,0.00  ,45.00  ,
3.30  ,43.706639  ,10.475604  ,-131.92  ,23.97  ,27.15  ,1,8.23  ,0.09  ,0.00  ,45.00  ,
3.30  ,43.706639  ,10.475604  ,-131.92  ,23.97  ,27.15  ,1,8.23  ,0.09  ,0.00  ,45.00  ,
3.40  ,43.706639  ,10.475604  ,-131.17  ,23.97  ,27.15  ,1,8.23  ,0.10  ,0.00  ,45.00  ,
3.60  ,43.706639  ,10.475604  ,-129.65  ,23.98  ,27.15  ,1,8.23  ,0.10  ,0.00  ,45.00  ,
3.60  ,43.706639  ,10.475604  ,-129.65  ,23.98  ,27.15  ,1,8.23  ,0.10  ,0.00  ,45.00  ,
3.60  ,43.706639  ,10.475604  ,-129.65  ,23.98  ,27.15  ,1,8.23  ,0.10  ,0.00  ,45.00  ,
3.80  ,43.706639  ,10.475604  ,-128.08  ,23.99  ,27.15  ,1,8.22  ,0.11  ,0.00  ,45.00  ,
3.90  ,43.706640  ,10.475604  ,-127.26  ,24.00  ,27.15  ,1,8.22  ,0.12  ,0.00  ,45.00  ,
4.00  ,43.706640  ,10.475604  ,-126.46  ,24.00  ,27.15  ,1,8.21  ,0.12  ,0.00  ,45.00  ,
4.10  ,43.706640  ,10.475604  ,-125.72  ,24.01  ,27.15  ,1,8.21  ,0.12  ,0.00  ,45.00  ,
4.20  ,43.706640  ,10.475604  ,-125.04  ,24.01  ,27.15  ,1,8.21  ,0.13  ,0.00  ,45.00  ,
4.30  ,43.706640  ,10.475604  ,-124.43  ,24.02  ,27.15  ,1,8.20  ,0.13  ,0.00  ,45.00  ,
4.40  ,43.706640  ,10.475604  ,-123.89  ,24.02  ,27.14  ,1,8.20  ,0.13  ,0.00  ,45.00  ,
4.50  ,43.706640  ,10.475604  ,-123.33  ,24.03  ,27.14  ,1,8.20  ,0.14  ,0.00  ,45.00  ,
4.50  ,43.706640  ,10.475604  ,-123.33  ,24.03  ,27.14  ,1,8.20  ,0.14  ,0.00  ,45.00  ,
4.50  ,43.706640  ,10.475604  ,-123.33  ,24.03  ,27.14  ,1,8.20  ,0.14  ,0.00  ,45.00  ,
4.80  ,43.706640  ,10.475604  ,-121.27  ,24.04  ,27.14  ,1,8.19  ,0.15  ,0.00  ,45.00  ,
4.90  ,43.706640  ,10.475604  ,-120.50  ,24.05  ,27.14  ,1,8.18  ,0.15  ,0.00  ,45.00  ,
5.00  ,43.706640  ,10.475604  ,-119.75  ,24.05  ,27.14  ,1,8.18  ,0.16  ,0.00  ,45.00  ,
5.20  ,43.706640  ,10.475604  ,-118.40  ,24.05  ,27.14  ,1,8.18  ,0.16  ,0.00  ,45.00  ,
5.20  ,43.706640  ,10.475604  ,-118.40  ,24.06  ,27.14  ,1,8.18  ,0.16  ,0.00  ,45.00  ,
5.40  ,43.706640  ,10.475604  ,-117.08  ,24.07  ,27.14  ,1,8.17  ,0.17  ,0.00  ,45.00  ,
5.40  ,43.706640  ,10.475604  ,-117.08  ,24.07  ,27.14  ,1,8.17  ,0.17  ,0.00  ,45.00  ,
5.50  ,43.706640  ,10.475604  ,-116.46  ,24.07  ,27.14  ,1,8.17  ,0.17  ,0.00  ,45.00  ,
5.60  ,43.706640  ,10.475604  ,-115.89  ,24.08  ,27.13  ,1,8.17  ,0.18  ,0.00  ,45.00  ,
5.70  ,43.706640  ,10.475604  ,-115.42  ,24.08  ,27.13  ,1,8.16  ,0.18  ,0.00  ,45.00  ,
5.80  ,43.706640  ,10.475604  ,-114.96  ,24.09  ,27.13  ,1,8.16  ,0.18  ,0.00  ,45.00  ,
5.80  ,43.706640  ,10.475604  ,-114.96  ,24.09  ,27.13  ,1,8.16  ,0.18  ,0.00  ,45.00  ,
5.80  ,43.706640  ,10.475604  ,-114.96  ,24.09  ,27.13  ,1,8.16  ,0.18  ,0.00  ,45.00  ,
6.10  ,43.706640  ,10.475604  ,-113.14  ,24.10  ,27.13  ,1,8.15  ,0.20  ,0.00  ,45.00  ,
6.20  ,43.706641  ,10.475604  ,-112.36  ,24.11  ,27.13  ,1,8.15  ,0.20  ,0.00  ,45.00  ,
6.30  ,43.706641  ,10.475604  ,-111.54  ,24.11  ,27.13  ,1,8.15  ,0.20  ,0.00  ,45.00  ,
6.40  ,43.706641  ,10.475604  ,-110.74  ,24.12  ,27.13  ,1,8.14  ,0.21  ,0.00  ,45.00  ,
6.50  ,43.706641  ,10.475604  ,-110.03  ,24.12  ,27.13  ,1,8.14  ,0.21  ,0.00  ,45.00  ,
6.60  ,43.706641  ,10.475604  ,-109.37  ,24.13  ,27.13  ,1,8.14  ,0.22  ,0.00  ,45.00  ,
6.70  ,43.706641  ,10.475604  ,-108.77  ,24.13  ,27.13  ,1,8.14  ,0.22  ,0.00  ,45.00  ,
6.80  ,43.706641  ,10.475604  ,-108.18  ,24.14  ,27.13  ,1,8.14  ,0.23  ,0.00  ,44.69  ,
7.00  ,43.706641  ,10.475604  ,-107.15  ,24.14  ,27.13  ,1,8.13  ,0.23  ,0.01  ,43.51  ,
7.00  ,43.706641  ,10.475604  ,-107.15  ,24.14  ,27.13  ,1,8.13  ,0.23  ,0.01  ,43.51  ,
7.10  ,43.706641  ,10.475604  ,-106.71  ,24.15  ,27.13  ,1,8.13  ,0.24  ,0.01  ,42.99  ,
7.20  ,43.706641  ,10.475604  ,-106.28  ,24.16  ,27.13  ,1,8.13  ,0.24  ,0.01  ,42.47  ,
7.20  ,43.706641  ,10.475604  ,-106.28  ,24.16  ,27.13  ,1,8.13  ,0.24  ,0.01  ,42.47  ,
7.40  ,43.706641  ,10.475604  ,-105.35  ,24.17  ,27.13  ,1,8.12  ,0.26  ,0.02  ,41.35  ,
7.50  ,43.706641  ,10.475604  ,-104.92  ,24.17  ,27.13  ,1,8.12  ,0.26  ,0.02  ,40.84  ,
7.60  ,43.706641  ,10.475604  ,-104.51  ,24.18  ,27.13  ,1,8.12  ,0.26  ,0.02  ,40.35  ,
7.70  ,43.706641  ,10.475604  ,-104.13  ,24.18  ,27.13  ,1,8.11  ,0.27  ,0.02  ,39.90  ,
7.80  ,43.706641  ,10.475604  ,-103.77  ,24.19  ,27.13  ,1,8.11  ,0.27  ,0.02  ,39.46  ,
8.00  ,43.706641  ,10.475604  ,-103.00  ,24.20  ,27.13  ,1,8.11  ,0.28  ,0.03  ,38.56  ,
8.00  ,43.706641  ,10.475604  ,-103.00  ,24.20  ,27.13  ,1,8.11  ,0.28  ,0.03  ,38.56  ,
8.10  ,43.706641  ,10.475604  ,-102.70  ,24.20  ,27.13  ,1,8.11  ,0.28  ,0.03  ,38.20  ,
8.20  ,43.706641  ,10.475604  ,-102.38  ,24.21  ,27.13  ,1,8.10  ,0.29  ,0.03  ,37.82  ,
8.30  ,43.706641  ,10.475604  ,-102.08  ,24.21  ,27.13  ,1,8.10  ,0.29  ,0.03  ,37.46  ,
8.40  ,43.706641  ,10.475604  ,-101.73  ,24.21  ,27.13  ,1,8.10  ,0.29  ,0.04  ,37.03  ,
8.50  ,43.706642  ,10.475604  ,-101.35  ,24.22  ,27.13  ,1,8.10  ,0.30  ,0.04  ,36.58  ,
8.60  ,43.706642  ,10.475604  ,-100.98  ,24.22  ,27.14  ,1,8.10  ,0.30  ,0.04  ,36.15  ,
8.70  ,43.706642  ,10.475604  ,-100.60  ,24.23  ,27.14  ,1,8.10  ,0.31  ,0.04  ,35.69  ,
8.80  ,43.706642  ,10.475604  ,-100.25  ,24.23  ,27.14  ,1,8.09  ,0.31  ,0.04  ,35.26  ,
8.90  ,43.706642  ,10.475604  ,-99.84  ,24.24  ,27.14  ,1,8.09  ,0.32  ,0.05  ,34.77  ,
9.10  ,43.706642  ,10.475604  ,-99.20  ,24.24  ,27.14  ,1,8.09  ,0.32  ,0.05  ,33.97  ,
9.10  ,43.706642  ,10.475604  ,-99.20  ,24.24  ,27.14  ,1,8.09  ,0.32  ,0.05  ,33.97  ,
9.20  ,43.706642  ,10.475604  ,-98.99  ,24.25  ,27.14  ,1,8.09  ,0.33  ,0.05  ,33.69  ,
9.30  ,43.706642  ,10.475604  ,-98.84  ,24.25  ,27.14  ,1,8.09  ,0.33  ,0.05  ,33.47  ,
9.40  ,43.706642  ,10.475604  ,-98.63  ,24.26  ,27.14  ,1,8.09  ,0.34  ,0.05  ,33.19  ,
9.50  ,43.706642  ,10.475604  ,-98.30  ,24.26  ,27.14  ,1,8.09  ,0.34  ,0.05  ,32.77  ,
9.60  ,43.706642  ,10.475604  ,-97.94  ,24.27  ,27.15  ,1,8.09  ,0.34  ,0.06  ,32.34  ,
9.70  ,43.706642  ,10.475604  ,-97.54  ,24.27  ,27.15  ,1,8.08  ,0.35  ,0.06  ,31.87  ,
9.90  ,43.706642  ,10.475604  ,-96.67  ,24.28  ,27.15  ,1,8.08  ,0.36  ,0.06  ,30.86  ,
10.00  ,43.706642  ,10.475604  ,-96.18  ,24.28  ,27.15  ,1,8.08  ,0.36  ,0.07  ,30.32  ,
10.00  ,43.706642  ,10.475604  ,-96.18  ,24.28  ,27.15  ,1,8.08  ,0.36  ,0.07  ,30.32  ,
10.10  ,43.706642  ,10.475604  ,-95.71  ,24.28  ,27.15  ,1,8.08  ,0.36  ,0.07  ,29.79  ,
10.20  ,43.706642  ,10.475604  ,-95.29  ,24.29  ,27.15  ,1,8.08  ,0.36  ,0.07  ,29.31  ,
10.30  ,43.706642  ,10.475604  ,-94.81  ,24.29  ,27.15  ,1,8.08  ,0.37  ,0.07  ,28.78  ,
10.40  ,43.706642  ,10.475604  ,-94.42  ,24.29  ,27.15  ,1,8.08  ,0.37  ,0.07  ,28.34  ,
10.50  ,43.706642  ,10.475604  ,-94.09  ,24.30  ,27.15  ,1,8.08  ,0.37  ,0.08  ,27.94  ,
10.60  ,43.706642  ,10.475604  ,-93.77  ,24.30  ,27.15  ,1,8.07  ,0.38  ,0.08  ,27.56  ,
10.70  ,43.706642  ,10.475604  ,-93.38  ,24.30  ,27.15  ,1,8.07  ,0.38  ,0.08  ,27.11  ,
10.80  ,43.706642  ,10.475604  ,-92.83  ,24.31  ,27.15  ,1,8.07  ,0.38  ,0.08  ,26.50  ,
10.90  ,43.706642  ,10.475604  ,-92.23  ,24.31  ,27.15  ,1,8.07  ,0.39  ,0.09  ,25.83  ,
11.00  ,43.706642  ,10.475604  ,-91.64  ,24.32  ,27.15  ,1,8.07  ,0.39  ,0.09  ,25.19  ,
11.10  ,43.706642  ,10.475604  ,-91.00  ,24.32  ,27.15  ,1,8.06  ,0.39  ,0.09  ,24.50  ,
11.20  ,43.706642  ,10.475604  ,-90.35  ,24.32  ,27.15  ,1,8.06  ,0.40  ,0.09  ,23.80  ,
11.30  ,43.706643  ,10.475604  ,-89.60  ,24.33  ,27.15  ,1,8.06  ,0.40  ,0.10  ,23.00  ,
11.40  ,43.706643  ,10.475604  ,-88.79  ,24.33  ,27.15  ,1,8.06  ,0.40  ,0.10  ,22.15  ,
11.50  ,43.706643  ,10.475604  ,-88.05  ,24.33  ,27.15  ,1,8.05  ,0.40  ,0.11  ,21.36  ,
11.60  ,43.706643  ,10.475604  ,-87.35  ,24.34  ,27.14  ,1,8.05  ,0.41  ,0.11  ,20.62  ,
11.70  ,43.706643  ,10.475604  ,-86.70  ,24.34  ,27.14  ,1,8.05  ,0.41  ,0.11  ,19.92  ,
11.80  ,43.706643  ,10.475604  ,-86.12  ,24.35  ,27.14  ,1,8.04  ,0.41  ,0.11  ,19.28  ,
11.90  ,43.706643  ,10.475604  ,-85.43  ,24.35  ,27.14  ,1,8.04  ,0.41  ,0.12  ,18.54  ,
12.00  ,43.706643  ,10.475604  ,-84.77  ,24.35  ,27.14  ,1,8.04  ,0.42  ,0.12  ,17.83  ,
12.10  ,43.706643  ,10.475604  ,-84.07  ,24.36  ,27.14  ,1,8.04  ,0.42  ,0.12  ,17.09  ,
12.30  ,43.706643  ,10.475604  ,-82.68  ,24.36  ,27.14  ,1,8.03  ,0.42  ,0.13  ,16.32  ,
12.30  ,43.706643  ,10.475604  ,-82.68  ,24.36  ,27.14  ,1,8.03  ,0.43  ,0.13  ,15.59  ,
12.40  ,43.706643  ,10.475604  ,-81.99  ,24.37  ,27.13  ,1,8.03  ,0.43  ,0.13  ,14.84  ,
12.60  ,43.706643  ,10.475604  ,-80.75  ,24.38  ,27.13  ,1,8.02  ,0.43  ,0.14  ,13.48  ,
12.60  ,43.706643  ,10.475604  ,-80.75  ,24.38  ,27.13  ,1,8.02  ,0.43  ,0.14  ,13.48  ,
12.70  ,43.706643  ,10.475604  ,-80.26  ,24.38  ,27.13  ,1,8.02  ,0.44  ,0.14  ,12.93  ,
12.80  ,43.706643  ,10.475604  ,-79.82  ,24.39  ,27.13  ,1,8.02  ,0.44  ,0.14  ,12.43  ,
12.90  ,43.706643  ,10.475604  ,-79.21  ,24.39  ,27.13  ,1,8.01  ,0.44  ,0.15  ,11.76  ,
13.00  ,43.706643  ,10.475604  ,-78.56  ,24.39  ,27.13  ,1,8.01  ,0.45  ,0.15  ,11.06  ,
13.10  ,43.706643  ,10.475604  ,-77.84  ,24.40  ,27.13  ,1,8.01  ,0.45  ,0.15  ,10.30  ,
13.20  ,43.706643  ,10.475604  ,-77.11  ,24.40  ,27.12  ,1,8.00  ,0.45  ,0.16  ,9.53  ,
13.30  ,43.706643  ,10.475604  ,-76.43  ,24.41  ,27.12  ,1,8.00  ,0.45  ,0.16  ,8.82  ,
13.40  ,43.706643  ,10.475604  ,-75.72  ,24.41  ,27.12  ,1,8.00  ,0.45  ,0.16  ,8.07  ,
13.50  ,43.706643  ,10.475604  ,-74.93  ,24.41  ,27.12  ,1,7.99  ,0.46  ,0.17  ,7.24  ,
13.60  ,43.706643  ,10.475604  ,-74.16  ,24.42  ,27.12  ,1,7.99  ,0.46  ,0.17  ,6.42  ,
13.70  ,43.706643  ,10.475604  ,-73.43  ,24.42  ,27.11  ,1,7.99  ,0.46  ,0.17  ,5.64  ,
13.80  ,43.706643  ,10.475604  ,-72.82  ,24.42  ,27.11  ,1,7.98  ,0.47  ,0.17  ,4.96  ,
13.90  ,43.706643  ,10.475604  ,-72.34  ,24.43  ,27.11  ,1,7.98  ,0.47  ,0.17  ,4.41  ,
14.00  ,43.706643  ,10.475603  ,-71.83  ,24.44  ,27.11  ,1,7.98  ,0.47  ,0.17  ,3.82  ,
14.10  ,43.706644  ,10.475603  ,-71.31  ,24.44  ,27.11  ,1,7.97  ,0.48  ,0.17  ,3.24  ,
14.20  ,43.706644  ,10.475603  ,-70.71  ,24.44  ,27.11  ,1,7.97  ,0.48  ,0.17  ,2.59  ,
14.30  ,43.706644  ,10.475603  ,-70.06  ,24.45  ,27.11  ,1,7.97  ,0.48  ,0.17  ,1.90  ,
14.40  ,43.706644  ,10.475603  ,-69.43  ,24.45  ,27.10  ,1,7.96  ,0.48  ,0.17  ,1.23  ,
14.50  ,43.706644  ,10.475603  ,-68.70  ,24.45  ,27.10  ,1,7.96  ,0.49  ,0.17  ,0.46  ,
14.60  ,43.706644  ,10.475603  ,-68.07  ,24.46  ,27.10  ,1,7.96  ,0.49  ,0.17  ,-0.22  ,
