Time_sec , Lat , Lon , Yaw_deg , North_m , East_m , Target_WP_idx , Dist_to_WP_m , CrossTrackErr_m , Surge_Cmd , Yaw_Cmd_deg , Event
0.00  ,43.706508  ,10.475242  ,0.00  ,25.00  ,12.00  ,1,0.00  ,0.00  ,0.00  ,0.00  ,Smart Start: Corner 3 (Inversione Totale). | Inserito WP Rientro
0.10  ,43.706508  ,10.475242  ,0.00  ,25.00  ,12.00  ,1,10.90  ,0.00  ,0.04  ,-36.48  ,
0.20  ,43.706508  ,10.475242  ,-0.07  ,25.00  ,12.00  ,1,10.90  ,0.00  ,0.04  ,-36.40  ,
0.30  ,43.706508  ,10.475242  ,-0.27  ,25.00  ,12.00  ,1,10.89  ,0.00  ,0.04  ,-36.21  ,
0.40  ,43.706508  ,10.475242  ,-0.43  ,25.00  ,12.00  ,1,10.89  ,0.00  ,0.04  ,-36.05  ,
0.50  ,43.706508  ,10.475242  ,-0.70  ,25.00  ,12.00  ,1,10.89  ,0.00  ,0.04  ,-35.79  ,
0.60  ,43.706508  ,10.475242  ,-1.02  ,25.00  ,12.00  ,1,10.89  ,0.00  ,0.04  ,-35.47  ,
0.70  ,43.706508  ,10.475242  ,-1.41  ,25.00  ,12.00  ,1,10.89  ,0.00  ,0.04  ,-35.09  ,
0.80  ,43.706508  ,10.475242  ,-1.84  ,25.00  ,12.00  ,1,10.89  ,0.00  ,0.05  ,-34.66  ,
0.90  ,43.706508  ,10.475242  ,-2.32  ,25.00  ,12.00  ,1,10.89  ,0.00  ,0.05  ,-34.19  ,
1.00  ,43.706508  ,10.475242  ,-2.84  ,25.00  ,12.00  ,1,10.89  ,0.00  ,0.05  ,-33.67  ,
1.10  ,43.706508  ,10.475242  ,-3.42  ,25.01  ,12.00  ,1,10.89  ,0.00  ,0.05  ,-33.11  ,
1.20  ,43.706508  ,10.475242  ,-4.02  ,25.01  ,12.00  ,1,10.89  ,0.00  ,0.06  ,-32.52  ,
1.30  ,43.706508  ,10.475242  ,-4.65  ,25.01  ,12.00  ,1,10.89  ,0.00  ,0.06  ,-31.89  ,
1.40  ,43.706508  ,10.475242  ,-5.32  ,25.01  ,12.00  ,1,10.89  ,0.00  ,0.06  ,-31.23  ,
1.50  ,43.706508  ,10.475242  ,-6.02  ,25.01  ,12.00  ,1,10.89  ,0.01  ,0.06  ,-30.54  ,
