Time_sec , Lat , Lon , Yaw_deg , North_m , East_m , Target_WP_idx , Dist_to_WP_m , CrossTrackErr_m , Surge_Cmd , Yaw_Cmd_deg , Event
0.00  ,43.706688  ,10.475465  ,0.00  ,45.00  ,30.00  ,1,0.00  ,0.00  ,0.00  ,0.00  ,Smart Start: Corner 0 (Inizio Originale). | Inserito WP Rientro
0.10  ,43.706688  ,10.475465  ,0.00  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
0.20  ,43.706688  ,10.475465  ,0.09  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
0.30  ,43.706688  ,10.475465  ,0.26  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
0.40  ,43.706688  ,10.475465  ,0.52  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
0.50  ,43.706688  ,10.475465  ,0.85  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
0.60  ,43.706688  ,10.475465  ,1.26  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
0.70  ,43.706688  ,10.475465  ,1.74  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
0.80  ,43.706688  ,10.475465  ,2.29  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
0.90  ,43.706688  ,10.475465  ,2.88  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
1.00  ,43.706688  ,10.475465  ,3.55  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
1.10  ,43.706688  ,10.475465  ,4.27  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
1.20  ,43.706688  ,10.475465  ,5.06  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
1.30  ,43.706688  ,10.475465  ,5.88  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
1.40  ,43.706688  ,10.475465  ,6.75  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
1.50  ,43.706688  ,10.475465  ,7.67  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
1.60  ,43.706688  ,10.475465  ,8.63  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
1.71  ,43.706688  ,10.475465  ,9.70  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
1.80  ,43.706688  ,10.475465  ,10.63  ,45.00  ,30.00  ,1,11.10  ,-0.00  ,0.00  ,45.00  ,
