Time_sec , Lat , Lon , Yaw_deg , North_m , East_m , Target_WP_idx , Dist_to_WP_m , CrossTrackErr_m , Surge_Cmd , Yaw_Cmd_deg , Event
0.00  ,43.706688  ,10.475651  ,0.00  ,45.00  ,45.00  ,1,0.00  ,0.00  ,0.00  ,0.00  ,Smart Start: Corner 0 (Inizio Originale). | Inserito WP Rientro
0.00  ,43.706688  ,10.475651  ,0.00  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
0.08  ,43.706688  ,10.475651  ,-0.06  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
0.16  ,43.706688  ,10.475651  ,-0.06  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
0.26  ,43.706688  ,10.475651  ,-0.32  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
0.36  ,43.706688  ,10.475651  ,-0.60  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
0.46  ,43.706688  ,10.475651  ,-0.97  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
0.56  ,43.706688  ,10.475651  ,-1.41  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
0.66  ,43.706688  ,10.475651  ,-1.91  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
0.76  ,43.706688  ,10.475651  ,-2.49  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
0.86  ,43.706688  ,10.475651  ,-3.08  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
0.96  ,43.706688  ,10.475651  ,-3.78  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
1.06  ,43.706688  ,10.475651  ,-4.51  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
1.17  ,43.706688  ,10.475651  ,-5.31  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
1.26  ,43.706688  ,10.475651  ,-6.15  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
1.36  ,43.706688  ,10.475651  ,-7.03  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
1.46  ,43.706688  ,10.475651  ,-7.97  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
1.56  ,43.706688  ,10.475651  ,-8.97  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
1.66  ,43.706688  ,10.475651  ,-9.96  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
1.76  ,43.706688  ,10.475651  ,-10.96  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
1.86  ,43.706688  ,10.475651  ,-11.95  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
1.96  ,43.706688  ,10.475651  ,-12.95  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
2.06  ,43.706688  ,10.475651  ,-13.96  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
2.16  ,43.706688  ,10.475651  ,-15.00  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
2.26  ,43.706688  ,10.475651  ,-15.95  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
2.36  ,43.706688  ,10.475651  ,-16.95  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
2.46  ,43.706688  ,10.475651  ,-17.96  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
2.56  ,43.706688  ,10.475651  ,-18.95  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
2.66  ,43.706688  ,10.475651  ,-20.01  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
2.76  ,43.706688  ,10.475651  ,-20.95  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
2.86  ,43.706688  ,10.475651  ,-21.96  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
2.96  ,43.706688  ,10.475651  ,-22.97  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
3.06  ,43.706688  ,10.475651  ,-23.97  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
3.16  ,43.706688  ,10.475651  ,-25.02  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
3.26  ,43.706688  ,10.475651  ,-25.96  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
3.36  ,43.706688  ,10.475651  ,-26.98  ,45.00  ,45.00  ,1,14.19  ,0.00  ,0.00  ,-45.00  ,
